opcode	name	status
0	STOP	1
1	ADD	2
2	MUL	2
3	SUB	2
4	DIV	2
5	SDIV	1
6	MOD	2
7	SMOD	1
8	ADDMOD	1
9	MULMOD	1
0A	EXP	0
0B	SIGNEXTEND	2
10	LT	2
11	GT	2
12	SLT	2
13	SGT	2
14	EQ	2
15	ISZERO	2
16	AND	2
17	OR	2
18	XOR	2
19	NOT	2
1A	BYTE	2
1B	SHL	1
1C	SHR	1
1D	SAR	1
20	SHA3	0
30	ADDRESS	0
31	BALANCE	0
32	ORIGIN	2
33	CALLER	2
34	CALLVALUE	2
35	CALLDATALOAD	2
36	CALLDATASIZE	2
37	CALLDATACOPY	2
38	CODESIZE	2
39	CODECOPY	2
3A	GASPRICE	2
3B	EXTCODESIZE	0
3C	EXTCODECOPY	0
3D	RETURNDATASIZE	0
3E	RETURNDATACOPY	0
3F	EXTCODEHASH	2
40	BLOCKHASH	0
41	COINBASE	2
42	TIMESTAMP	2
43	NUMBER	2
44	DIFFICULTY	2
45	GASLIMIT	2
46	CHAINID	2
47	SELFBALANCE	2
48	BASEFEE	2
50	POP	2
51	MLOAD	2
52	MSTORE	2
53	MSTORE8	2
54	SLOAD	2
55	SSTORE	2
56	JUMP	2
57	JUMPI	2
58	PC	2
59	MSIZE	2
5A	GAS	2
5B	JUMPDEST	2
60	PUSH1	2
61	PUSH2	2
62	PUSH3	2
63	PUSH4	2
64	PUSH5	2
65	PUSH6	2
66	PUSH7	2
67	PUSH8	2
68	PUSH9	2
69	PUSH10	2
6A	PUSH11	2
6B	PUSH12	2
6C	PUSH13	2
6D	PUSH14	2
6E	PUSH15	2
6F	PUSH16	2
70	PUSH17	2
71	PUSH18	2
72	PUSH19	2
73	PUSH20	2
74	PUSH21	2
75	PUSH22	2
76	PUSH23	2
77	PUSH24	2
78	PUSH25	2
79	PUSH26	2
7A	PUSH27	2
7B	PUSH28	2
7C	PUSH29	2
7D	PUSH30	2
7E	PUSH31	2
7F	PUSH32	2
80	DUP1	2
81	DUP2	2
82	DUP3	2
83	DUP4	2
84	DUP5	2
85	DUP6	2
86	DUP7	2
87	DUP8	2
88	DUP9	2
89	DUP10	2
8A	DUP11	2
8B	DUP12	2
8C	DUP13	2
8D	DUP14	2
8E	DUP15	2
8F	DUP16	2
90	SWAP1	2
91	SWAP2	2
92	SWAP3	2
93	SWAP4	2
94	SWAP5	2
95	SWAP6	2
96	SWAP7	2
97	SWAP8	2
98	SWAP9	2
99	SWAP10	2
9A	SWAP11	2
9B	SWAP12	2
9C	SWAP13	2
9D	SWAP14	2
9E	SWAP15	2
9F	SWAP16	2
A0	LOG0	2
A1	LOG1	2
A2	LOG2	2
A3	LOG3	2
A4	LOG4	2
F0	CREATE	0
F1	CALL	2
F2	CALLCODE	0
F3	RETURN	0
F4	DELEGATECALL	0
F5	CREATE2	0
FA	STATICCALL	0
FD	REVERT	0
FF	SELFDESTRUCT	0
